ID ;% remotion _10psi;prediction_training;HATS5p;ESpm01d;RDF130p;RDF015e;BELe7;ALOGP2;RDF035p
1;16.3722;Training;0;0;0;0;0;0.004001106;0
2;28.2545;Training;0.008002518;0.008002518;0.008002518;0.008005942;0.008002518;0.020005531;0.010220807
4;13.6552;Training;0.002011869;0.002011869;0.002011869;0.002011775;0.002011869;0.004001106;0.001951256
5;19.1612;Training;0.018061862;0.018061862;0.018061862;0.018064819;0.018061862;0.020005531;0.019977089
6;11.4326;Training;0.098311828;0.098311828;0.098311828;0.098330035;0.098311828;0.100027657;0.110106251
8;8.0249;Training;0.048127501;0.048127501;0.048127501;0.048129059;0.048127501;0.020005531;0.049136926
9;24.8749;Training;0.248640022;0.248640022;0.248640022;0.248651237;0.248640022;0.100027657;0.255905437
10;1.3721;Training;0.002011869;0.002011869;0.002011869;0.002011775;0.002011869;0.004001106;0.001951256
11;7.8217;Training;0.018061862;0.018061862;0.018061862;0.018064819;0.018061862;0.020005531;0.019977089
12;9.076;Training;0.098311828;0.098311828;0.098311828;0.098330035;0.098311828;0.100027657;0.110106251
13;6.5029;Training;0.006013128;0.006013128;0.006013128;0.006012848;0.006013128;0.004001106;0.005831967
14;24.0077;Training;0.038068156;0.038068156;0.038068156;0.038070182;0.038068156;0.020005531;0.039380644
16;6.5756;Training;0.018039383;0.018039383;0.018039383;0.018038544;0.018039383;0.004001106;0.017495902
17;10.5362;Training;0.098199434;0.098199434;0.098199434;0.098198663;0.098199434;0.020005531;0.097700318
18;20.9484;Training;0.498999685;0.498999685;0.498999685;0.498999257;0.498999685;0.100027657;0.498722399
19;15.8703;Training;0.002011869;0.002011869;0.002011869;0.002015571;0.002011869;0.020001844;0.004410074
20;18.1528;Training;0.018061862;0.018061862;0.018061862;0.018083797;0.018061862;0.100009219;0.032271179
22;27.0362;Training;0.038068156;0.038068156;0.038068156;0.03808916;0.038068156;0.100009219;0.051674734
23;16.2723;Training;0.198343299;0.198343299;0.198343299;0.198451744;0.198343299;0.500046096;0.268594478
25;15.4699;Training;0.038068156;0.038068156;0.038068156;0.03808916;0.038068156;0.100009219;0.051674734
26;1.7289;Training;0.198343299;0.198343299;0.198343299;0.198451744;0.198343299;0.500046096;0.268594478
27;3.6065;Training;0.002011869;0.002011869;0.002011869;0.002020315;0.002011869;0.04;0.007483172
28;18.86;Training;0.018061862;0.018061862;0.018061862;0.018107516;0.018061862;0.2;0.047636667
29;4.5038;Training;0.098311828;0.098311828;0.098311828;0.098543521;0.098311828;1;0.24840414
30;13.4925;Training;0.006013128;0.006013128;0.006013128;0.006021388;0.006013128;0.04;0.011363883
31;14.7178;Training;0.038068156;0.038068156;0.038068156;0.03811288;0.038068156;0.2;0.067040222
32;12.943;Training;0.198343299;0.198343299;0.198343299;0.19857034;0.198343299;1;0.345421916
35;10.5665;Training;0.498999685;0.498999685;0.498999685;0.499212743;0.498999685;1;0.637020288
36;9.0769;Training;0.499280673;0.499280673;0.499280673;0.499303959;0.499280673;0.200055315;0.514366075
37;6.8334;Training;1;1;1;1;1;0.200055315;1
38;5.5169;Training;0.018039383;0.018039383;0.018039383;0.018037595;0.018039383;0;0.016881056
40;11.8074;Training;0.498999685;0.498999685;0.498999685;0.498975529;0.498999685;0;0.483351245
3;15.0907;Prediction;0.048015106;0.048015106;0.048015106;0.048035652;0.048015106;0.100027657;0.061324841
7;17.1328;Prediction;0.008024997;0.008024997;0.008024997;0.008024623;0.008024997;0.004001106;0.007783224
15;23.2272;Prediction;0.198343299;0.198343299;0.198343299;0.198356854;0.198343299;0.100027657;0.207124027
21;12.0726;Prediction;0.006013128;0.006013128;0.006013128;0.006016644;0.006013128;0.020001844;0.008290785
24;5.2675;Prediction;0.006013128;0.006013128;0.006013128;0.006016644;0.006013128;0.020001844;0.008290785
33;7.3584;Prediction;0.018039383;0.018039383;0.018039383;0.018047084;0.018039383;0.04;0.023027818
34;10.0622;Prediction;0.098199434;0.098199434;0.098199434;0.09824136;0.098199434;0.2;0.125359896
39;1.6718;Prediction;0.098199434;0.098199434;0.098199434;0.098193917;0.098199434;0;0.094626088
